,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,7,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,3,3,0,0,0
2,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,1,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0,0,2,0,3,0,1,0,2,0,0,0,0,0,0,0,8,0,0,4,0,0,0,2,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,3,0
3,0,0,0,11,1,6,5,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,2,0,2,4,0,0,0,6,5,0,5,0,4,0,0,0,3,0,0,0,5,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,5,5,5,4,0,1,0,4,0,0,0,0,0,0,2,0,7,0,2,0,0,0,0,0,0,4,1,0,4,4,0,2,0,1,0,0,0,0,0,0,0,4,0,3,0,2,0,0,0,5,0,1,1,0,0,0
4,0,0,0,1,12,2,6,5,5,5,0,0,0,5,5,5,5,0,0,0,0,9,0,0,0,1,9,0,0,0,6,2,0,3,0,3,0,0,0,1,0,0,0,5,0,5,7,0,0,0,0,0,0,9,0,0,1,0,0,0,0,6,0,1,0,0,0,0,0,5,0,1,0,0,5,5,4,4,5,1,0,3,0,0,0,0,0,0,0,0,5,0,7,0,0,0,5,0,0,3,0,0,3,3,1,3,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,3,0,0,0,0,0
5,0,0,0,5,2,17,7,2,5,5,1,0,5,0,5,5,5,1,0,0,4,0,10,0,0,4,1,5,0,5,5,5,7,0,7,0,0,0,0,0,0,0,5,0,2,0,5,3,0,0,0,0,4,0,8,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,1,0,0,5,5,10,9,4,4,1,5,0,0,0,0,0,0,0,0,4,0,6,0,3,0,0,0,2,4,1,0,0,4,0,1,0,4,0,0,0,0,0,0,0,4,0,6,0,3,0,0,0,5,0,4,1,0,0,0
6,0,0,0,1,2,7,18,8,0,3,1,0,1,1,0,3,3,1,0,0,2,2,5,7,0,2,2,0,2,1,6,6,6,3,2,3,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,2,2,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,6,6,12,8,2,0,3,1,0,0,0,0,0,0,0,2,0,5,4,0,0,0,0,0,4,7,0,0,2,2,0,0,5,0,0,0,0,0,0,0,2,1,5,5,0,0,0,0,1,1,5,9,0,0,0
7,0,0,0,0,1,0,8,26,16,4,11,1,0,9,1,0,3,11,1,0,0,2,0,2,6,0,2,1,0,0,0,2,2,5,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,2,0,8,0,2,0,0,4,0,0,0,0,0,0,8,8,0,0,0,0,0,8,0,0,0,0,2,2,10,8,10,0,1,0,0,0,8,0,0,0,0,1,0,5,12,2,0,0,0,0,1,4,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,1,9,0,0
8,0,0,0,0,1,1,0,16,31,21,9,11,1,0,14,6,5,3,9,0,0,5,0,0,0,5,5,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,8,5,5,0,0,0,0,0,7,5,0,0,1,3,0,0,0,0,0,0,8,6,0,0,0,5,0,9,0,0,0,0,1,2,15,8,9,0,0,0,0,0,7,0,0,0,0,0,5,5,10,1,5,0,0,0,0,2,0,0,1,3,0,0,3,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,7,0
9,0,0,0,0,1,1,1,6,21,36,26,14,11,1,5,19,11,5,1,8,0,5,3,0,0,0,10,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,10,3,0,0,0,0,0,12,3,0,1,0,3,0,0,0,0,0,0,6,5,0,0,5,5,1,7,0,0,0,0,1,7,15,7,8,0,0,0,0,0,7,0,0,0,0,5,5,3,9,6,4,0,0,0,0,1,0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,4,3,0,0,0,0,0,0,0,5
