,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,5,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,5,1,0,0,5,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2,0,0,5,2,0,2,1,0,0,0,4,0,0,0,0,0,0,1,4,2,2,0,2,2,1,2,0,0,0,0,2,0,0,4,0,0,3,1,0,0,2,0,0,1,0,1,2,0,2,0,7,0,2,0,3,0,0,3,0,3,0,0,0,0,1,0,0,2,2,0,2,0,1,0
3,0,1,0,4,1,0,0,0,0,1,5,2,0,0,0,0,0,1,6,2,1,3,0,1,0,0,1,0,0,0,0,2,0,0,4,5,0,1,1,0,0,0,0,0,6,0,0,0,0,3,0,4,0,7,0,8,5,0,8,0,1,0,0,0,0,6,0,0,1,0,0,7,0,1
4,0,0,3,1,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,6,8,0,0,1,1,6,0,0,0,0,1,0,1,6,0,3,6,0,0,0,6,0,0,0,0,4,1,2,1,0,9,0,10,0,8,0,7,6,0,9,2,3,0,2,0,0,3,1,6,0,6,0,7,0
5,0,0,0,0,0,0,0,0,1,0,0,4,3,1,1,1,0,0,0,0,3,5,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,3,0,0,0,7,1,0,0,0,0,0,0,0,0,10,0,7,0,5,0,3,3,0,4,0,7,0,0,0,0,0,0,14,4,3,0,3
6,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,3,1,0,0,2,2,1,0,0,0,0,0,2,0,3,0,0,2,0,2,0,2,0,0,0,0,8,0,0,2,0,12,2,6,0,3,0,1,2,8,12,2,15,5,0,0,0,2,4,16,6,5,0
7,0,0,0,14,4,6,3,0,0,0,0,0,0,0,0,0,0,3,0,3,1,2,0,7,3,1,2,1,0,0,6,0,0,1,0,0,9,3,0,0,1,0,0,5,0,0,6,0,14,4,1,0,2,11,8,5,0,9,0,7,1,7,10,5,18,8,0,6,1,0,6,15,6,3
8,0,1,0,4,13,3,4,2,0,1,5,0,0,0,0,0,0,1,8,0,2,2,1,0,5,2,0,1,1,0,0,6,0,0,1,5,0,7,3,0,0,0,0,0,10,0,0,4,4,15,5,0,0,7,10,13,10,0,14,4,5,0,5,8,8,23,13,1,5,0,0,11,14,6
9,0,1,0,0,3,12,2,3,0,1,6,3,0,0,0,0,0,1,6,6,0,3,1,0,0,4,1,0,1,0,0,0,6,0,0,6,4,0,7,3,0,0,0,0,5,9,0,0,3,5,14,4,0,5,6,15,18,9,5,13,3,3,0,3,6,13,23,13,1,2,0,5,10,14
10,0,0,3,1,0,4,12,2,0,0,0,4,1,0,0,0,0,0,0,6,12,2,0,2,0,6,4,0,0,0,1,0,0,12,2,0,7,4,0,4,9,0,0,0,0,3,10,2,1,2,11,11,10,0,6,5,14,19,9,6,15,5,1,2,3,5,13,24,19,9,8,0,5,7
11,0,0,2,4,0,1,4,11,1,0,0,0,2,0,0,0,0,0,0,0,12,11,1,1,2,6,6,3,0,0,1,0,0,6,9,1,1,7,1,0,10,6,0,0,0,0,4,12,3,0,8,8,17,9,1,5,4,15,18,10,8,17,7,3,2,2,3,14,30,20,15,7,0,2
12,0,0,0,0,1,0,0,1,12,2,0,0,1,3,0,1,0,0,0,0,2,10,15,5,0,0,3,3,0,4,0,6,0,0,11,9,0,0,3,0,0,11,3,0,0,1,0,2,9,1,0,5,7,17,7,1,5,5,15,15,6,7,16,6,0,2,7,4,18,29,19,15,5,0
13,0,0,0,6,0,7,3,0,2,12,2,0,0,0,0,0,1,0,0,3,1,2,7,21,11,1,0,2,1,0,10,0,5,1,1,10,15,5,0,1,1,1,8,6,0,0,7,0,8,9,2,0,6,7,23,13,1,11,5,21,14,5,6,15,9,0,0,13,8,17,30,20,15,5
14,0,0,0,0,4,0,7,1,0,2,10,4,0,0,0,0,1,0,0,0,3,0,0,11,21,11,2,0,0,0,0,6,0,5,0,0,10,15,5,0,1,0,0,8,4,0,0,6,0,7,9,0,0,4,13,21,11,1,9,11,20,13,7,5,15,7,0,3,13,7,18,28,21,13
15,0,0,0,0,0,1,0,3,6,0,0,9,7,5,0,5,0,0,0,0,0,0,2,1,9,18,8,0,0,2,0,1,5,0,6,0,0,7,11,1,0,6,0,0,6,7,0,0,3,0,4,7,0,0,3,11,19,9,0,6,10,16,12,3,5,13,8,0,3,14,8,16,24,17
16,0,0,0,6,0,6,4,0,0,6,0,0,7,4,2,0,5,0,0,3,1,0,0,8,4,10,18,8,0,0,8,0,0,6,0,5,6,3,5,9,2,0,3,3,0,4,13,3,6,3,1,1,8,0,6,2,10,25,15,6,5,9,14,11,6,4,10,14,4,4,15,7,16,22
17,0,2,0,0,5,0,5,3,0,2,6,0,0,6,1,1,0,7,0,0,2,3,0,0,7,3,10,17,7,0,0,8,5,0,6,0,4,5,1,3,8,1,0,2,3,0,3,12,2,8,2,0,0,8,0,6,2,15,25,15,5,4,7,13,10,6,4,9,13,3,5,15,7,14
18,0,0,1,6,0,11,3,4,0,0,1,4,0,0,3,0,1,0,6,3,1,2,0,6,3,8,3,9,15,5,6,0,7,6,0,5,6,7,3,0,4,5,0,3,1,1,6,2,18,8,9,0,1,0,14,4,5,8,15,31,21,9,2,6,16,9,3,10,10,9,4,5,15,5
19,0,0,0,0,16,6,8,13,3,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,3,2,6,13,7,12,4,3,0,6,3,0,4,3,5,1,0,0,1,0,2,0,0,5,8,17,7,5,0,0,4,13,3,4,7,21,30,20,8,1,6,15,6,2,9,6,8,3,5,13
20,0,1,0,0,6,15,5,7,11,4,5,0,0,0,0,0,0,1,5,0,2,3,0,0,0,2,1,5,13,6,11,4,3,0,6,8,0,2,3,5,0,0,0,0,5,1,0,0,4,9,16,6,4,5,0,9,18,8,9,11,19,28,18,6,0,11,15,5,1,6,5,13,3,5
21,0,0,9,0,0,5,13,4,3,11,2,2,0,0,0,0,2,0,0,3,2,2,0,0,0,2,4,0,4,9,5,7,3,5,0,4,7,0,1,2,7,0,0,0,0,1,0,8,0,4,11,11,8,2,4,0,8,17,7,8,19,27,25,26,16,4,7,14,7,0,8,3,15,5
22,0,0,2,10,0,1,5,12,2,2,10,0,0,0,0,0,0,1,0,0,9,1,0,1,0,6,2,3,0,0,10,2,6,9,2,0,5,7,0,0,8,4,0,0,0,0,2,2,9,0,10,8,17,7,3,3,0,9,16,8,10,21,25,27,26,16,4,8,20,10,6,7,5,12
23,0,0,2,3,9,1,1,4,9,1,1,8,0,0,0,0,0,0,0,0,6,8,0,1,1,6,6,1,0,0,1,7,1,12,6,1,1,5,4,0,6,5,1,0,0,0,1,4,3,8,6,7,14,16,8,2,2,1,8,17,10,12,19,27,27,25,15,5,14,17,16,6,7,2
24,0,0,0,0,0,7,0,0,7,7,0,1,15,5,0,3,0,0,0,0,0,4,10,0,0,0,4,3,0,2,0,2,6,2,13,5,0,0,2,1,0,9,4,0,0,7,0,0,2,1,6,5,5,13,14,7,1,0,0,7,13,6,12,17,25,26,26,16,4,14,15,15,5,4
25,0,0,0,0,0,0,4,0,5,4,5,0,5,20,10,5,0,0,0,0,0,0,6,7,0,0,0,0,0,2,0,1,1,3,3,11,2,0,0,0,0,5,7,1,0,3,4,0,0,0,0,4,2,3,10,12,5,0,0,0,3,9,5,8,15,23,27,23,13,5,11,13,11,1
