,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,2,0,2,0,0,0,0,7,2,0,0,0,0,0,0,1,2,1,0,2,0,0,7,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,2,0,0,7,1,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,7,0,0,2,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,7,7,0,0,0,2,0,2,0,2,0,0,0,0,2,0,0,0,0
2,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,4,0,5,0,0,0,8,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,11,1,0,0,0,0,6,0,0,4,0,0,0,1,0,0,0
3,0,0,0,0,1,0,0,0,0,0,5,0,7,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,3,1,6,0,0,0,13,3,0,0,3,0,1,4,0,1,0,0,0,0,5,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,3,7,0,0,5,0,0,0,5,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,5,0,1,0,0,0,0,5,0,0,5,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,5,0,0,4,0,0,0,1,0,1
4,0,0,0,0,0,0,0,0,0,0,0,2,10,6,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,3,12,2,0,0,2,0,0,1,0,0,0,0,10,0,4,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,2,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,11,1,0,10,0,0,0,0,0,1,0,0,0,2,0,0,0,0,10,0,15,5,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,12,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,15,5,0,1,0,0,0,0,0
5,0,0,2,0,0,0,0,2,0,2,0,0,1,10,13,3,0,8,1,0,0,0,1,2,1,0,2,0,0,7,0,2,0,5,0,0,5,12,2,0,7,2,0,0,1,0,0,2,0,9,7,5,7,2,3,0,7,0,0,0,0,0,0,1,0,0,0,2,8,0,0,9,0,0,0,3,0,0,0,3,4,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,9,0,2,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,5,0,1,9,0,0,10,0,0,0,0,0,3,0,0,0,2,0,0,0,0,9,5,17,7,0,1,0,2,0,0,7,0,0,2,5,0,2,2,0,0,2,9,1,10,0,2,0,0,0,0,0,0,0,2,7,7,0,0,0,7,0,2,0,2,5,11,4,0,3,0,0,0,0
6,0,0,0,1,0,5,0,0,7,0,2,0,0,0,9,12,2,0,13,3,0,0,0,0,1,1,0,2,0,0,9,2,7,0,3,0,0,5,10,1,0,9,1,0,2,6,0,0,1,0,8,6,4,6,2,8,0,7,0,0,0,0,0,0,0,0,0,0,1,8,0,0,8,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,7,0,0,0,2,5,0,0,9,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,5,0,2,0,5,0,0,7,0,0,8,0,0,0,0,0,1,0,0,2,2,0,0,0,0,8,7,17,7,5,0,0,1,0,0,6,2,0,7,4,0,1,0,0,0,1,8,0,9,0,2,0,0,0,0,0,0,0,1,6,5,0,0,0,7,0,0,0,1,3,16,6,0,2,0,0,2
7,0,0,2,0,0,0,2,2,0,9,0,1,0,0,7,11,11,1,3,13,3,0,1,2,1,0,3,0,0,7,0,9,1,7,0,2,2,0,1,7,8,0,6,0,0,1,3,2,0,0,7,9,13,6,5,1,6,0,4,0,0,0,0,1,0,0,0,2,2,0,5,7,0,5,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,7,0,5,0,0,0,1,4,0,0,9,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,4,0,3,0,4,0,0,6,0,0,8,0,0,0,2,0,1,0,0,2,0,0,0,0,0,10,7,14,6,5,2,0,0,7,0,6,4,0,4,6,2,0,0,0,0,0,8,0,11,1,2,0,0,0,0,0,2,7,8,2,5,0,2,0,9,0,2,0,0,6,13,8,0,0,0,0
8,0,0,0,0,0,2,0,2,4,0,10,0,0,0,0,7,10,11,3,8,13,3,0,1,1,0,0,1,0,0,12,5,11,2,5,1,1,3,0,0,7,13,3,3,5,2,0,2,1,1,0,6,9,12,7,7,0,4,0,4,0,0,0,0,0,0,0,0,1,3,0,5,4,0,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,8,0,2,0,5,2,0,5,0,5,8,0,0,0,1,0,0,4,0,0,0,0,0,0,2,1,9,0,4,0,4,0,0,7,0,0,5,0,0,0,0,1,0,5,1,2,0,0,1,0,0,11,4,16,6,5,0,0,0,4,5,6,6,0,3,5,0,1,0,0,0,0,5,1,9,1,0,0,0,0,0,0,2,7,5,2,2,0,3,0,6,0,1,0,2,4,12,5,0,0,5
9,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,5,18,9,3,16,9,0,0,0,0,0,0,0,0,2,12,3,11,1,5,0,1,0,0,0,7,9,0,3,3,0,0,0,1,0,0,4,6,12,5,3,0,0,8,12,2,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,9,0,8,0,0,0,0,8,0,0,16,6,0,0,3,0,0,1,0,2,4,0,0,0,0,0,0,0,8,8,0,0,0,0,2,1,7,0,2,8,12,2,0,15,5,0,13,3,0,0,0,0,0,5,9,10,0,0,0,0,1,7,6,15,5,1,0,0,0,4,3,4,2,0,0,2,0,0,0,0,0,0,3,0,8,0,8,0,0,8,0,0,0,3,4,0,0,0,1,0,4,0,0,0,0,2,8,1,0,0
10,0,0,3,0,0,0,0,3,0,3,0,0,4,0,1,3,0,8,17,8,6,13,16,6,7,0,3,0,0,1,0,2,11,2,10,0,5,0,0,0,1,0,3,5,0,2,0,0,0,0,2,7,1,4,4,11,2,0,0,0,5,10,0,15,5,0,0,3,0,0,0,1,0,0,0,7,0,0,0,0,1,0,5,0,15,5,0,0,0,9,0,6,12,3,0,0,0,0,0,0,0,0,0,7,3,0,3,0,0,0,5,4,0,0,0,0,1,1,6,0,0,5,9,1,5,13,3,3,9,6,0,0,0,0,0,2,6,7,0,0,0,0,0,6,5,18,8,0,1,0,0,7,2,0,2,0,0,0,0,0,0,0,0,3,0,0,5,0,5,0,0,11,1,1,0,1,1,0,0,3,0,3,1,0,0,0,0,0,5,0,0
11,0,0,0,2,0,5,0,0,8,0,3,0,0,3,0,0,2,0,13,19,9,5,12,15,5,7,0,3,0,0,3,2,7,11,1,10,0,5,0,0,0,3,0,2,7,5,2,0,0,0,0,1,6,0,4,9,10,2,0,0,0,4,8,5,13,3,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,5,14,5,0,0,0,9,0,5,11,5,5,0,0,0,2,0,0,0,0,6,2,0,3,0,0,0,4,3,0,5,0,2,0,1,5,0,0,4,9,0,4,11,1,2,8,4,0,0,2,0,0,0,5,7,0,0,0,0,5,5,8,17,7,0,0,2,0,12,2,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,1,10,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0,0,4,2
12,0,0,0,0,0,2,3,0,2,8,1,1,0,0,3,0,0,2,3,18,19,9,4,12,14,4,7,0,0,0,5,8,4,8,9,2,9,1,2,0,0,5,0,0,7,9,3,1,0,1,0,0,1,5,1,6,6,8,0,0,0,0,4,7,3,11,1,0,0,3,0,0,0,0,0,0,0,7,1,1,1,0,0,0,2,4,12,2,0,0,1,9,0,2,16,7,4,1,0,5,1,0,0,0,0,3,2,1,0,0,0,0,1,0,2,6,5,1,1,0,5,0,0,5,9,0,1,11,1,2,5,5,0,5,3,0,0,0,6,6,0,1,0,2,5,5,7,14,7,0,5,2,2,9,1,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,4,0,1,10,0,0,0,0,1,0,0,1,0,0,2,3,0,0,0,0,9
