,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,1
2,0,0,1,0,0,0,0,0,0,1,4,0,0,4,0,0,0,2,5,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,5,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,7,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,5,0,4,0,1,5,0,0,0,1,0,0,5,0,0,5,0,0,0,0,4,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,0
3,0,0,1,0,0,0,0,0,0,1,5,1,0,4,0,0,0,0,7,2,1,2,0,0,0,0,0,1,1,0,0,1,2,2,6,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,4,0,4,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,0,0,0,0,1,6,2,0,4,1,6,2,0,0,1,1,0,5,5,0,5,4,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,0
4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,8,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,1,0,2,0,0,0,8,0,0,0,0,0,0,8,0,8,0,1,0,0,1,3,0,8,0,0,0,6,0,0,0,0,3,0,8,0,1,0,0,5,2,0,2,2,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8
5,0,0,1,0,0,0,0,0,0,1,4,0,3,5,0,0,4,0,5,0,6,1,0,0,0,5,0,1,0,0,0,1,1,1,5,0,5,0,0,0,0,0,0,0,0,0,13,3,0,0,0,5,0,0,0,0,0,0,0,0,1,5,0,0,2,0,0,6,0,6,0,1,0,0,0,5,0,0,0,0,0,0,5,0,9,0,0,4,0,1,0,0,5,1,5,0,3,0,1,5,0,0,0,9,0,0,5,0,4,7,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,5,0,0
6,0,0,0,11,1,0,0,0,0,0,0,4,0,0,4,0,0,2,0,5,0,5,3,0,0,1,3,0,0,0,0,0,0,0,0,4,0,3,0,0,0,10,0,0,0,0,3,13,3,2,0,0,5,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,6,0,6,0,0,0,0,1,5,0,0,0,2,0,0,3,0,7,2,0,6,0,0,0,0,4,0,6,0,1,0,0,5,1,0,0,7,0,0,3,2,0,9,0,0,1,1,0,10,0,1,10,0,1,0,0,4,0,0,1,0,0,0,0,0,0,2,0,2,0
7,0,0,0,2,9,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,4,0,13,3,0,0,0,3,0,4,0,0,0,0,0,0,2,0,1,0,0,2,7,0,0,0,0,3,11,11,1,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,5,0,10,0,0,0,0,0,3,0,0,8,0,0,0,2,0,15,5,8,4,0,0,0,0,3,0,4,0,0,0,0,4,0,0,0,5,0,0,11,1,8,7,0,0,0,0,2,8,0,3,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0
8,0,6,0,0,8,10,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,2,3,19,9,2,0,0,2,0,7,0,0,0,0,0,0,1,1,0,6,0,1,13,6,0,0,1,9,9,9,0,1,0,3,0,0,3,6,6,0,0,1,0,2,6,6,0,1,0,6,0,9,6,0,2,3,0,2,6,0,6,3,0,0,1,5,12,3,7,3,0,6,0,0,3,1,3,0,0,3,2,2,0,0,6,2,0,1,8,0,14,6,0,0,0,0,3,10,0,0,12,2,6,0,1,1,2,0,6,6,1,6,0,0,0,0,2
9,0,0,7,0,0,5,7,0,0,1,4,0,6,4,0,0,0,0,5,0,8,1,1,9,15,6,0,1,0,1,0,8,1,1,5,0,0,0,0,1,0,2,0,3,10,2,5,0,0,8,5,6,0,1,0,3,0,0,0,3,7,5,0,0,0,0,3,10,0,6,0,5,0,6,2,0,0,3,0,0,5,0,3,0,1,0,0,9,11,3,3,0,0,7,5,0,0,1,4,5,0,0,0,3,0,0,11,2,0,6,7,4,11,3,0,0,0,0,0,6,1,2,8,0,4,0,1,0,2,0,3,3,0,7,0,4,0,0
