,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,8,8,0,0,0,0,8,8,0,0,0,0,0,0,8,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,6,0,0,0,0,0,0,0,0,0,0,0,8,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,8,8,6,0,0,0,8,8,5,0,0,0,0,0,8,16,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,12,4,0,0,0,0,0,0,0,0,0,0,8,6,14,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,5,0,0,5,0,0,13,7,6,0,0,0,7,7,10,5,0,0,0,0,8,14,12,7,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,8,13,11,4,0,1,0,0,0,0,0,0,0,0,7,6,19,9,4,5,0,5,0,0,0,1,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0,5,5,0,0
5,0,0,3,0,0,2,0,3,14,4,3,0,0,0,3,5,8,1,0,0,0,0,15,13,11,4,0,0,0,3,0,0,0,3,0,3,2,0,1,0,0,0,0,0,5,16,8,4,0,0,0,0,1,0,0,0,0,3,4,9,17,7,2,2,0,3,7,0,0,1,0,0,0,1,0,2,0,5,0,0,0,3,1,0,4,0,0,3,2,3
6,0,1,0,0,1,0,2,1,4,12,2,4,0,1,0,4,6,7,0,0,0,0,5,16,18,9,2,0,0,0,5,0,0,0,4,1,0,1,0,0,0,0,0,0,0,6,14,7,9,0,0,0,0,0,0,1,0,0,3,5,7,16,8,0,3,0,2,4,5,0,0,0,0,0,2,0,3,0,3,0,0,0,3,2,2,4,1,1,0,2
7,0,0,0,0,0,0,8,2,0,2,8,2,12,2,0,0,4,3,5,0,8,8,0,6,16,14,6,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,8,8,0,0,4,11,7,5,0,0,0,0,0,0,9,0,8,3,2,6,16,6,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,1,0,0
8,0,0,8,0,0,0,0,6,2,0,0,10,2,14,4,0,0,0,2,1,0,7,6,2,6,12,10,5,2,0,0,0,9,0,0,0,0,2,0,0,0,8,0,7,3,0,0,6,11,3,1,0,0,0,2,2,0,8,0,6,0,1,6,11,4,8,0,0,0,6,4,2,0,0,0,0,0,2,0,0,0,0,0,0,2,8,0,2,0,0
9,0,0,8,4,0,0,0,0,6,0,0,2,9,4,10,2,0,0,0,0,0,0,5,8,2,2,8,9,7,1,0,0,8,8,0,0,0,2,2,0,0,8,7,0,2,2,0,2,6,7,0,0,0,0,2,4,1,0,7,0,2,0,0,1,9,12,6,0,0,2,8,6,0,0,0,0,0,2,0,0,0,0,0,0,0,10,6,0,0,0
