,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,0,0,2,0,0,0,2,3,0,0,5,5,0,2,0,5,0,0,4,0,0,0,0,0,0,0,0,0,4,2,0,0,0,4,0,0,0,2,5,0,4,2,0,0,4,0,0,0,0,0,4,0,0,5,0,0,2,0
3,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,3,2,0,2,5,0,4,0,12,2,0,5,2,0,0,0,0,0,0,1,0,2,3,2,0,0,4,0,0,0,0,5,0,0,2,2,0,5,0,1,0,0,0,11,1,0,3,0,0,4
4,0,0,0,0,0,7,0,0,0,0,0,0,0,9,4,0,8,0,0,1,7,0,0,0,1,0,0,0,2,0,0,2,15,5,0,3,2,0,0,7,0,0,0,0,0,1,1,2,0,0,11,7,0,0,3,2,0,3,0,0,0,12,2,0,0,0,1,8,0,0,0,0,0
5,0,0,10,0,0,0,6,0,0,0,0,0,0,0,8,2,0,4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,5,12,3,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,1,8,3,0,0,0,0,0,2,0,0,2,11,12,2,0,0,11,5,10,0,0,0
6,0,0,0,10,0,0,0,7,0,0,0,5,1,0,0,4,0,1,4,0,0,1,4,0,0,4,4,0,1,0,5,0,0,10,8,0,0,2,0,0,0,0,0,5,1,0,0,0,5,0,0,0,9,8,0,5,1,0,0,7,0,0,1,8,11,1,0,1,15,5,6,1,0
7,0,0,0,0,8,3,0,0,6,0,0,0,3,4,6,0,7,0,0,5,3,0,0,3,0,0,1,2,0,0,0,5,6,0,10,7,1,0,0,3,0,1,0,0,3,1,0,1,0,6,3,3,0,6,14,4,2,7,0,0,7,3,0,0,4,9,1,0,5,14,4,3,0
8,0,0,0,0,0,5,2,5,0,5,0,1,3,0,1,3,0,12,2,0,2,8,5,0,0,2,2,0,7,0,2,0,2,7,0,6,4,0,0,0,1,0,0,1,3,0,0,0,2,0,3,0,8,1,4,15,9,0,3,1,0,4,0,0,1,0,5,0,2,4,10,9,0
9,0,0,0,0,0,0,4,4,4,0,4,4,3,0,0,0,0,2,11,1,0,4,10,4,0,5,7,0,2,3,5,0,0,6,3,0,2,3,0,0,0,0,0,4,3,0,0,0,4,0,0,0,2,12,2,8,17,7,0,7,0,0,1,0,0,0,0,2,5,0,0,12,5
10,0,0,0,0,0,0,0,6,3,3,0,8,6,0,0,0,0,2,1,7,0,2,6,9,0,5,10,3,2,0,8,2,0,4,2,0,0,1,1,0,0,0,0,4,6,0,0,0,4,0,0,0,2,6,9,6,10,14,4,4,4,0,0,0,0,0,0,0,7,2,0,2,8
11,0,0,0,0,8,0,0,0,6,1,3,0,5,3,0,0,0,0,2,0,4,0,0,4,8,0,1,18,8,1,0,8,0,0,2,1,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,4,5,2,8,13,3,4,1,0,0,0,8,0,0,0,5,10,0,1
12,0,0,0,0,0,6,0,0,0,5,0,0,0,3,2,0,0,0,0,4,0,0,0,0,12,4,0,8,14,16,6,2,7,0,0,10,3,0,0,0,0,2,0,0,0,1,14,4,0,2,0,0,0,0,0,0,1,1,16,9,3,2,1,0,0,0,10,0,0,0,4,6,8
13,0,0,0,0,0,3,5,0,0,0,4,0,0,3,9,2,3,0,0,1,7,0,0,0,2,9,1,0,5,13,13,6,8,4,0,0,11,2,0,3,0,1,2,0,0,0,4,15,5,1,5,3,0,0,6,0,0,7,6,13,9,6,2,0,0,0,0,9,0,0,0,1,5
14,0,0,0,0,0,0,2,2,0,0,0,1,0,0,4,9,2,0,0,6,1,4,0,0,2,0,5,0,0,7,9,13,7,5,4,2,6,10,0,0,0,6,1,0,0,0,2,10,12,11,1,5,0,0,1,3,0,1,9,3,12,9,5,1,0,0,0,0,5,0,0,0,3
15,0,0,0,0,0,0,0,4,1,0,0,4,3,0,0,0,5,4,0,0,2,3,6,0,0,7,5,1,2,0,12,6,10,11,1,0,0,5,8,0,0,0,2,5,2,0,0,0,14,8,7,0,7,4,0,5,5,0,0,13,3,8,6,2,1,0,0,0,5,2,0,2,0
16,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,6,1,0,0,3,4,4,0,0,7,1,2,0,2,8,2,9,10,0,0,0,3,5,1,0,0,1,5,0,0,0,4,11,5,4,1,6,0,0,6,1,0,3,10,0,5,2,10,0,0,0,0,1,0,1,0
17,0,0,0,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,2,3,0,0,15,5,1,0,2,6,0,7,9,0,0,0,0,2,0,0,0,0,5,0,0,0,1,8,2,0,0,4,0,0,4,0,0,3,7,0,3,0,18,8,0,0,0,9,0,0
18,0,0,0,0,0,4,0,2,0,0,0,4,2,0,0,0,0,2,0,2,0,2,2,0,0,8,5,5,17,7,6,0,0,10,0,3,5,0,0,0,0,0,0,4,2,0,1,0,4,0,0,4,4,4,0,8,2,0,0,4,0,0,4,0,3,8,15,5,5,0,0,11,1
19,0,2,0,2,0,0,6,0,3,2,1,0,2,1,0,0,0,0,3,0,1,0,0,4,0,0,5,5,7,17,7,7,0,0,9,0,2,6,0,0,0,0,0,0,2,7,0,0,0,3,0,0,1,2,4,0,5,2,0,0,9,0,5,3,0,3,9,14,4,4,0,1,11
20,0,0,0,0,0,7,0,3,0,2,0,0,0,9,4,0,7,0,0,3,7,0,0,0,2,0,0,2,2,7,13,6,10,0,0,7,0,0,2,7,0,0,0,0,0,1,5,0,0,0,10,7,0,0,5,1,0,8,0,0,0,16,6,2,0,0,2,6,10,1,1,0,1
21,0,0,0,0,8,0,5,0,3,0,2,0,0,0,7,2,0,3,0,0,0,3,0,0,0,0,0,8,0,1,3,13,4,6,0,0,4,0,0,0,4,0,0,0,0,0,0,2,0,0,0,7,3,0,0,1,0,0,7,0,0,6,16,6,0,8,0,0,2,8,9,0,0
22,0,0,0,0,0,4,0,7,0,2,0,6,2,0,0,3,0,2,2,0,0,2,5,0,0,5,5,0,10,0,6,3,10,8,2,0,0,3,0,0,0,0,0,4,2,0,0,0,6,0,0,0,9,7,0,4,3,0,0,11,1,0,6,13,6,0,5,0,5,0,4,11,1
23,0,0,0,0,0,0,3,0,5,0,0,0,2,0,0,0,1,0,0,4,0,0,0,4,8,0,1,4,0,18,8,8,2,6,7,10,2,0,0,0,0,2,0,0,0,2,8,2,0,8,0,0,0,5,6,0,0,2,8,1,11,1,0,5,8,5,2,4,0,4,0,1,19
24,0,0,0,0,0,3,0,0,0,4,0,0,0,5,6,0,3,0,0,1,7,0,0,0,3,5,0,0,1,8,15,8,14,4,6,6,11,1,0,3,0,1,2,0,0,0,1,9,0,1,11,3,0,0,11,3,0,6,1,5,1,14,4,0,1,6,5,1,1,0,2,0,9
25,0,0,0,0,0,1,2,0,0,0,3,0,0,1,7,7,1,1,0,2,2,5,0,0,0,0,2,0,0,1,5,15,10,11,5,6,8,10,0,1,2,2,2,0,0,0,0,3,6,2,2,12,2,0,2,8,1,2,6,0,5,4,14,4,0,0,6,4,0,0,0,0,0
26,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,4,0,1,0,0,0,1,0,0,0,0,10,0,0,0,5,13,6,9,4,3,8,7,0,0,0,0,0,0,0,0,0,0,3,0,2,8,0,0,0,4,0,1,2,0,2,4,12,2,8,0,4,0,0,8,0,0
27,0,0,0,0,0,6,0,0,5,0,5,0,0,0,0,0,3,2,5,0,0,0,0,1,0,0,0,0,8,0,0,0,4,13,4,7,3,8,7,5,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0,0,3,0,1,3,0,3,3,9,2,7,0,3,0,0,6,0
28,0,0,0,0,0,0,5,5,0,4,0,6,3,0,0,0,0,8,0,2,0,5,5,0,0,2,2,0,5,4,2,0,0,5,10,0,4,1,6,4,3,0,0,1,3,0,0,0,1,0,0,0,5,1,5,1,5,0,0,1,0,0,0,0,4,5,0,3,2,0,0,5,2
29,0,0,0,0,0,0,0,10,3,0,2,1,9,0,0,0,0,5,6,0,0,5,10,4,0,2,4,0,5,1,6,0,0,1,2,6,0,2,0,3,2,0,0,1,4,0,0,0,1,0,0,0,5,6,0,6,6,2,0,1,0,0,0,0,1,0,1,0,5,0,0,5,1
30,0,0,0,0,0,0,0,5,8,2,0,3,4,6,0,0,0,5,3,3,0,5,10,9,0,2,4,0,5,1,3,2,0,1,0,0,3,0,0,0,1,0,0,1,4,1,0,0,1,0,0,0,5,6,3,1,11,3,0,1,0,0,0,0,1,0,0,0,2,1,0,5,1
31,0,0,0,0,0,0,0,0,4,7,1,0,1,4,7,0,0,0,4,9,3,0,2,9,11,1,0,1,0,7,0,3,3,0,1,2,6,2,0,0,0,7,0,0,0,3,3,6,0,7,0,0,0,2,7,0,1,12,5,0,0,0,0,0,0,0,0,0,0,1,0,0,7
32,0,0,0,0,0,1,0,0,0,3,6,0,0,2,6,8,1,0,0,6,10,1,0,1,9,8,0,0,0,0,4,0,5,0,1,1,4,5,0,1,0,2,8,0,0,0,3,5,3,2,8,1,0,0,4,4,0,3,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,5,6,0,0,2,4,6,0,0,9,5,4,0,0,8,0,6,0,1,0,9,3,2,1,0,0,2,1,4,0,0,8,5,1,5,0,6,0,0,0,0,0,0,11,8,2,0,1,0,0,0,2,0,0,0,0,0,8
34,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,5,1,12,2,0,4,0,4,0,0,0,6,3,0,0,0,0,0,0,1,0,0,5,1,0,2,0,2,0,0,0,0,0,1,7,8,0,0,0,0,8,0,0,0,0,8,0,0
35,0,0,0,0,0,4,0,2,0,0,0,4,2,0,0,0,0,4,1,0,0,2,2,1,0,5,10,2,14,4,5,1,0,8,0,0,0,5,1,0,0,0,0,4,2,0,0,0,9,0,0,0,2,6,0,4,2,0,0,5,4,4,0,0,0,0,5,0,5,0,0,10,0
36,0,0,0,0,0,0,3,2,1,0,0,4,6,0,0,0,0,2,3,0,0,2,4,1,0,5,10,6,4,10,9,2,0,4,4,0,0,0,3,0,0,0,0,4,6,0,0,0,4,5,0,0,2,6,3,4,6,0,0,4,2,0,1,0,0,0,0,2,5,2,0,2,6
37,0,0,0,0,0,3,0,0,1,0,0,0,2,9,6,0,3,0,1,4,3,0,0,3,0,0,2,8,3,3,7,9,8,0,4,3,1,0,0,6,0,1,0,0,2,6,0,1,0,5,8,3,0,0,12,2,1,12,2,0,4,5,0,0,0,0,0,0,0,4,0,0,1
38,0,0,10,0,0,0,2,0,0,0,0,0,0,0,8,4,0,0,0,0,1,0,0,0,2,0,0,0,4,2,0,5,8,5,0,3,2,0,0,0,2,0,0,0,0,1,5,0,0,0,2,5,0,0,2,9,0,2,11,1,0,1,4,10,0,0,0,10,0,10,2,0,0
39,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,15,5,0,0,0,0,0,2,0,0,0,0,3,0,0,0,7,0,1,8,0,0,0,0,11,1,0,0,7,0,7,0,0
