,seq1,seq2,score,normalized_score
21,prot-0410,prot-0412,-98,-0.3951612903225806
25,prot-0507,prot-0509,-63,-0.3987341772151899
31,prot-0584,prot-0611,-58,-0.31016042780748665
28,prot-0580,prot-0615,-45,-0.3103448275862069
16,prot-0357,prot-0360,-35,-0.2348993288590604
23,prot-0465,prot-0466,-13,-0.07222222222222222
2,prot-0047,prot-0050,-11,-0.09090909090909091
30,prot-0583,prot-0598,-10,-0.06666666666666667
15,prot-0354,prot-0355,-7,-0.04
20,prot-0384,prot-0392,-5,-0.016181229773462782
43,prot-0609,prot-0611,-4,-0.0213903743315508
7,prot-0166,prot-0177,-4,-0.041237113402061855
1,prot-0031,prot-0034,-1,-0.009433962264150943
13,prot-0298,prot-0300,0,0.0
40,prot-0600,prot-0605,3,0.023809523809523808
32,prot-0586,prot-0590,4,0.03076923076923077
45,prot-0659,prot-0661,4,0.031007751937984496
37,prot-0594,prot-0596,6,0.03680981595092025
46,prot-0735,prot-0736,8,0.02572347266881029
35,prot-0590,prot-0610,10,0.08695652173913043
29,prot-0582,prot-0586,11,0.08461538461538462
6,prot-0124,prot-0125,11,0.03754266211604096
33,prot-0587,prot-0606,16,0.08121827411167512
22,prot-0459,prot-0461,18,0.09183673469387756
49,prot-0860,prot-0862,18,0.4090909090909091
8,prot-0170,prot-0173,20,0.2222222222222222
10,prot-0187,prot-0190,23,0.23
27,prot-0570,prot-0572,25,0.1201923076923077
18,prot-0369,prot-0370,26,0.10441767068273092
36,prot-0592,prot-0601,27,0.11203319502074689
0,prot-0004,prot-0008,30,0.2112676056338028
5,prot-0098,prot-0102,30,0.6976744186046512
9,prot-0175,prot-0178,31,0.34065934065934067
42,prot-0605,prot-0615,31,0.24603174603174602
11,prot-0240,prot-0242,32,0.3106796116504854
39,prot-0597,prot-0621,32,0.2644628099173554
41,prot-0602,prot-0616,33,0.28205128205128205
34,prot-0589,prot-0591,35,0.1483050847457627
26,prot-0533,prot-0534,36,0.11320754716981132
17,prot-0361,prot-0364,37,0.12012987012987013
38,prot-0595,prot-0620,37,0.21511627906976744
12,prot-0271,prot-0275,44,0.2430939226519337
4,prot-0077,prot-0082,51,0.34459459459459457
3,prot-0065,prot-0069,52,0.6265060240963856
19,prot-0380,prot-0384,53,0.165625
14,prot-0326,prot-0327,58,0.5858585858585859
48,prot-0829,prot-0832,73,1.7380952380952381
24,prot-0484,prot-0485,108,1.3846153846153846
44,prot-0614,prot-0616,123,0.9609375
47,prot-0776,prot-0779,318,2.0384615384615383
