,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,3
3,0,0,1,1,0,6,3,0,0,0,2,0,0,0,0,6,3,0,0,0,6,0,3,4,0,0,0,3,7,0,0,0,0,1,0,0,6
4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,1,1,0,0,0,0,2,8,0,4,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,6,5,8,2,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,5,4,5,0,0,0
7,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,2,2,8,0,0,2,6,4,0,0
8,0,0,2,2,0,2,0,0,0,0,15,5,0,0,0,2,0,0,0,0,2,0,1,0,0,2,5,1,2,2,4,0,0,4,5,1,2
9,0,0,2,2,2,0,1,0,0,8,5,11,5,0,0,0,2,0,0,0,0,0,0,0,0,8,0,3,3,10,0,0,0,2,3,1,0
10,0,0,6,1,1,3,0,0,0,2,10,2,10,2,0,1,0,0,0,0,1,0,0,0,0,2,4,0,3,5,7,0,0,6,1,0,2
11,0,0,0,5,0,0,0,13,13,3,0,23,13,23,13,1,0,0,0,0,0,14,4,13,3,0,0,0,0,0,3,20,10,0,2,14,4
12,0,0,0,0,2,0,0,3,11,9,0,13,20,13,22,12,0,2,0,0,0,4,10,3,10,0,5,0,0,0,0,10,19,9,0,4,11
13,0,1,0,1,1,1,0,0,2,9,8,3,14,19,13,21,13,3,1,0,0,0,2,9,4,8,0,3,0,0,0,0,8,18,8,0,3
14,0,0,0,0,0,0,0,13,13,3,6,21,11,27,18,11,20,11,1,0,0,13,3,15,8,0,6,0,1,0,0,13,3,8,14,21,11
15,0,0,6,0,0,1,0,3,10,15,5,11,20,17,26,19,10,18,10,0,1,3,13,5,14,10,0,6,0,3,0,3,11,9,7,11,22
16,0,5,0,11,5,0,0,0,2,10,15,5,16,19,19,26,24,14,17,9,0,0,3,12,10,14,7,0,7,0,0,0,1,10,8,6,12
17,0,0,2,1,10,2,0,13,13,3,7,28,18,29,19,16,25,22,12,13,6,13,3,16,11,6,12,3,0,3,0,13,3,0,6,21,11
