,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,5,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,2,0,1,4,0,6,4,0,1,0,10,1,0,0,0,1,4,1,0,1,0,0,0,0,0,5,5,0,0,4,0,0,0,5,0,0,5,0,0,0,1,0,2,0,0,2,0,0,0,5,1,0,0,1,0,2,0,0,1,5,0,0,1,0,0,0,0,0,4,4,1,1,5,0,0,1,0,0,10,0,0,0,4,0,0,1,5,0,1,1,0,4,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,1,0,5,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,4,0,0,9,0,0,0,4,0,5,2,5,0,0,0,0,0,0,0,0,0,5,0,0,0
3,0,0,2,1,0,0,3,0,3,2,0,0,0,8,0,2,0,0,0,1,1,0,1,0,0,0,0,0,2,2,0,0,4,3,0,0,5,6,0,4,0,0,0,0,0,3,0,6,0,0,6,0,2,0,0,0,1,0,3,1,0,0,5,6,0,7,6,0,3,3,0,1,1,0,0,11,1,0,3,0,0,9,0,0,0,5,6,0,0,4,0,0,0,0,2,0,0,1,1,3,0,0,0,0,1,0,3,0,0,0,4,3,0,3,0,0,7,0,6,0,0,1,0,0,3,0,0,0,5,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,10,0,0,5,2,0,0,3,0,11,1,3,0,0,1,0,0,0,0,0,0,3,0,0
4,0,0,0,2,0,4,0,4,4,0,3,0,5,1,4,0,0,1,4,1,0,2,0,0,0,0,0,5,5,1,2,0,0,1,3,5,0,2,11,1,0,0,1,0,0,0,3,0,2,0,0,11,1,0,0,0,0,2,0,0,2,5,0,2,7,0,4,3,0,0,7,4,2,2,5,1,11,1,0,3,5,0,6,0,4,0,2,7,5,0,5,1,0,4,0,0,4,4,5,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,3,0,2,4,1,0,5,0,1,0,5,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,4,0,10,4,0,2,0,4,0,3,1,16,6,3,0,0,0,0,0,0,0,5,0,0,0
5,0,0,0,0,1,0,4,0,0,12,2,3,0,2,9,2,0,0,0,0,1,0,2,0,0,8,0,0,1,2,1,0,0,0,0,0,5,0,1,10,0,0,0,1,0,0,0,1,8,0,0,1,7,9,0,0,0,0,0,0,0,0,5,0,0,5,0,2,0,0,0,3,0,0,0,3,1,19,9,0,0,4,0,2,0,1,0,0,3,3,0,1,0,0,12,2,0,0,0,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,13,3,9,0,5,8,9,0,0,8,0,0,0,10,0,0,0,0,0,8,8,0,0,0,3,0,0,0,0,2,0,6,0,0,10,0,4,0,1,6,24,14,11,1,0,0,0,0,0,0,13,3,0
6,0,0,0,0,0,6,0,6,5,2,14,4,7,2,0,6,0,2,5,2,0,3,0,0,0,0,8,4,4,0,1,1,0,0,0,4,0,2,4,0,6,0,2,0,0,0,0,0,0,7,0,4,3,3,8,0,0,2,0,0,2,4,0,2,2,0,2,0,0,0,5,5,5,2,4,0,2,9,16,8,4,0,1,0,7,0,0,2,4,0,5,2,0,5,2,8,7,5,5,0,0,4,5,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,13,3,0,4,3,10,0,13,3,1,4,5,0,0,7,0,0,0,7,0,2,2,0,0,4,5,0,0,0,0,0,0,5,0,1,5,6,0,0,15,5,3,0,5,14,23,13,7,0,0,0,0,0,4,3,9,0
7,0,0,0,0,2,0,5,0,3,5,4,13,3,5,2,0,13,3,0,1,9,0,10,2,1,0,0,5,1,2,0,0,8,0,0,0,5,0,0,6,2,2,0,1,7,0,0,0,0,0,7,0,0,3,2,9,1,0,2,0,0,0,5,0,0,2,0,0,0,0,0,2,1,1,0,4,0,2,9,15,5,6,7,0,0,7,0,0,0,2,0,1,4,0,5,4,5,4,2,7,0,0,11,6,0,0,0,2,0,0,1,0,0,0,2,0,2,2,0,0,3,9,0,0,4,4,10,3,14,4,1,4,7,0,0,6,0,0,0,8,0,0,0,0,0,11,5,0,0,0,0,1,0,5,0,0,1,6,0,5,14,4,3,0,5,14,23,13,5,0,0,2,0,0,4,5,11
8,0,0,0,0,0,0,0,1,0,11,1,4,9,0,13,3,3,9,0,0,1,6,0,9,0,9,0,0,1,0,2,0,0,5,0,0,0,3,0,0,5,0,0,0,1,4,0,0,8,0,0,3,0,8,3,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,9,11,4,6,3,0,0,5,0,0,0,0,0,0,0,8,4,0,1,0,1,15,8,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,5,0,8,4,12,6,4,22,12,0,3,15,5,0,3,8,0,0,4,0,0,8,8,1,9,2,0,0,0,0,0,0,5,0,0,0,14,4,5,14,4,0,8,4,22,20,11,2,0,0,0,0,8,3,4
9,0,0,0,0,0,0,0,1,1,1,12,2,3,9,3,9,0,4,9,1,0,1,2,0,8,0,17,7,0,0,0,10,0,0,3,0,0,0,2,0,0,13,3,0,0,0,1,0,0,6,0,0,4,0,5,2,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,8,6,0,14,4,0,0,6,0,0,1,1,0,0,0,3,4,0,1,0,5,11,4,1,8,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,8,4,0,5,2,11,3,12,18,9,0,5,12,2,4,0,4,0,1,4,0,0,4,4,0,6,0,1,0,0,0,0,0,5,8,0,4,14,4,4,10,3,0,6,12,19,16,9,0,0,1,0,0,3,0
