,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0,10,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,0,0,6,6,0,2,0,2,0,1,0,7,0,0,0,0,2,0,0,0,0,0,0,0,1,0,8,0,0,6,0,0,3,0,0,0,0,6,0,0,0,0,6,6,0,0,1,0,6,0,7,2,0,0,1,1,1,0,6,0,0,1,1,0,0,0,0,0,2,1,6,0,0,0,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0
3,0,0,0,0,3,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,1,0,0,0,0,4,0,0,0,0,3,5,0,0,0,0,3,0,4,15,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,0,0,0,0,0,2,5,0,0,0,2,0,0,0,1,8,0,0,0,0,0,2,0,0,2,2,0,0,2,5,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,4,2,0,0,0,0,0,5,11,7,2,2,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,8,0,0,0,2,0,2,0,0,0,0,2,0,0,9,21,11,0,8,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,7,0,2,0,0,2,2,2,0,10,0,2,5,2,0,0,5,0,0,1,0,0,0,2,2,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,2,0,0,7,7,3,0,4,0,0,2,0,0,6,2,0,4,0,0,0,0,0,2,0,2,0,0,0,0,10,5,0,0,7,0,6,5,4,2,0,4,0,0,11,20,10,0,4,1,0,0,5,4,0,2,2,0,0,0,5,0,0,0,0,0,5,5,0,0,2,0
6,0,2,5,0,0,5,0,0,6,0,1,0,0,1,1,1,0,9,0,1,4,2,0,0,5,0,0,0,0,0,0,1,7,0,0,1,7,0,0,0,0,0,2,0,0,0,5,0,0,3,0,0,1,0,0,6,6,2,0,3,0,0,1,0,0,5,2,0,4,0,2,0,0,0,0,0,1,0,0,0,0,9,7,0,0,7,0,5,5,3,1,0,3,0,1,9,20,10,0,9,1,5,0,5,3,0,1,2,0,0,0,10,0,0,0,2,0,4,7,5,0,7
7,0,0,1,2,0,0,3,5,0,11,1,0,5,5,6,0,6,0,12,2,6,0,0,2,0,1,0,0,0,0,0,5,0,4,3,5,0,8,0,1,0,3,0,0,0,0,0,2,5,0,0,5,0,0,5,0,3,3,7,0,0,5,0,0,1,5,1,7,0,2,0,0,0,1,0,5,0,0,0,0,5,2,6,3,2,0,8,2,6,10,0,6,0,1,0,0,10,16,7,0,7,0,7,1,2,4,5,0,0,0,2,0,11,1,0,0,4,2,1,6,10,0
8,0,0,0,3,4,0,7,1,12,2,13,3,0,3,3,6,0,13,3,9,0,6,0,0,2,0,0,2,0,0,2,0,4,1,4,1,4,0,10,0,0,0,2,2,2,0,0,2,0,7,1,0,12,2,0,7,2,5,1,9,0,0,7,2,0,0,5,0,6,7,2,2,0,0,2,0,6,0,1,0,0,2,2,6,0,2,0,5,0,4,12,2,8,0,3,0,0,10,18,8,0,6,0,4,3,0,2,5,1,0,0,1,1,10,8,0,0,1,2,0,4,9
9,0,0,0,1,4,3,2,4,3,9,8,13,3,0,0,5,3,3,11,1,6,0,3,0,0,2,0,1,2,0,1,0,0,4,0,1,0,1,1,7,0,0,0,3,3,1,0,6,0,1,7,0,2,9,0,6,13,8,2,2,8,0,6,13,3,0,0,2,0,8,6,3,2,0,0,0,0,5,0,3,0,0,1,2,2,0,0,0,2,0,10,9,3,5,6,1,0,2,16,17,7,0,2,0,10,0,0,2,5,0,0,0,0,0,12,7,0,0,0,1,0,3
