,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,2,2,0
2,0,0,3,6,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,1,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,7,1,0,0,0,1,0,0,2,0,0,0,0,2,1,0,0,6,0,1,0,0,3
3,0,0,0,2,11,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,4,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,5,0,0,1,5,0,0,6,1,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,6,0,0,0,0
4,0,0,2,2,1,12,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,0,0,0,2,1,0,0,7,0,6,0,0,0,0,0,0,0,0,5,7,0,0,2,0,2,6,2,1,2,0,0,7,0,0,1,0,1,2,0,0,2,0,4,0,0,2
5,0,0,1,8,1,2,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,1,0,0,1,2,0,0,2,4,0,6,2,0,0,0,0,0,0,0,7,4,0,0,4,1,2,6,2,2,1,0,2,6,0,0,0,0,2,0,0,6,0,0,2,0,1
6,0,0,0,0,8,0,0,9,5,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,6,0,0,7,0,0,0,0,3,0,0,2,2,0,4,0,0,0,0,5,0,0,0,6,4,0,0,3,0,0,4,1,3,0,0,7,5,0,0,0,0,1,0,0,6,0,0,1,0
7,0,0,0,0,2,7,0,0,10,3,0,1,0,0,1,10,1,0,0,0,0,0,0,5,0,0,0,5,0,1,4,0,0,0,5,0,0,0,1,3,0,2,0,0,0,1,7,1,0,0,8,1,0,0,4,0,0,4,6,2,0,1,6,4,0,0,0,0,0,0,0,6,0,0,1
8,0,1,0,0,0,0,6,0,0,15,5,0,0,0,0,0,6,0,0,0,0,5,0,0,4,0,0,0,2,0,0,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,1,4,0,0,0,12,2,0,0,1,0,0,2,5,0,0,0,3,5,0,0,0,0,0,5,0,7,1,0
9,0,0,1,0,2,0,0,5,1,5,14,6,0,0,1,5,0,4,0,0,0,0,1,5,0,3,0,0,0,3,0,0,3,0,5,0,9,0,0,1,0,0,0,2,0,1,2,2,4,0,2,2,12,2,1,0,0,0,5,1,5,1,0,0,0,4,0,0,0,0,0,5,0,5,1
