,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,7,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,3,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,7,1,7,0,1,0,0,0,0,0,0,3,0,0,2,2,3,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0
2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,7,0,0,0,0,2,0,0,0,5,8,0,8,0,2,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,2,0,2,2,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,8,8,0,3,0,15,5,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
3,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,9,0,0,0,4,0,0,0,0,1,1,0,0,0,6,0,5,0,0,0,0,0,0,1,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,1,1,0,0,4,0,0,0,1,0,0,0,0,1,0,8,0,0,0,4,0,0,4,0,1,4,0,3,8,0,3,5,14,4,0,0,0,4,0,1,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,1,1,0,3,8
4,0,7,0,1,0,0,5,0,1,0,1,0,0,5,2,0,7,0,0,0,4,0,1,7,0,0,0,0,2,0,8,1,12,2,0,0,0,0,0,0,0,0,4,2,0,5,0,0,1,0,0,7,0,7,7,0,0,1,1,0,2,1,7,0,0,1,0,0,0,0,0,0,0,5,7,0,0,0,1,0,0,0,0,0,8,7,2,0,5,0,0,5,0,0,6,2,1,5,0,5,4,14,4,1,2,0,5,0,1,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,1,0,0
5,0,0,6,0,0,1,1,4,0,3,0,0,0,0,1,7,0,10,0,0,0,0,0,0,8,0,3,0,0,0,0,5,2,9,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,2,0,0,6,0,3,5,5,0,0,0,0,0,0,5,0,0,0,2,5,5,3,0,0,0,1,3,0,0,0,0,0,0,1,1,0,4,3,0,0,7,0,0,10,0,0,2,5,2,8,0,6,4,10,1,0,0,0,10,0,0,2,2,5,0,0,0,0,0,0,0,0,5,2,0,5,0,6,1
6,0,0,5,8,0,0,1,6,6,0,5,0,0,2,0,0,6,0,9,0,0,0,2,0,0,5,0,3,0,0,0,2,5,1,8,0,0,0,0,0,0,3,5,0,0,2,0,6,2,0,1,0,5,6,0,2,4,10,2,0,0,0,0,0,3,2,5,0,1,4,4,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,1,2,0,5,2,0,8,0,0,1,5,1,7,0,5,2,12,2,0,2,0,9,0,0,1,1,2,0,0,5,0,0,0,0,0,4,0,0,10,0,4
7,0,2,0,5,7,0,0,0,6,2,0,4,0,0,10,0,0,2,0,7,0,0,0,4,0,0,1,0,11,1,8,0,4,4,0,10,0,0,0,0,0,0,2,13,3,0,0,0,6,0,0,3,0,7,8,0,0,3,10,1,8,0,0,0,0,3,1,1,0,0,0,3,0,0,4,0,0,0,0,2,0,0,0,0,0,2,8,2,1,0,0,5,0,0,16,8,0,0,1,9,3,0,4,2,20,10,0,0,0,9,0,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,6,0
8,0,0,1,0,2,7,4,0,0,11,1,0,3,0,0,12,2,2,0,0,4,0,0,0,8,0,2,0,1,9,0,5,0,1,1,0,7,0,0,0,2,0,0,3,9,0,5,0,0,10,0,0,2,0,4,6,2,0,0,7,0,4,0,0,0,0,2,6,3,2,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,6,0,0,7,0,6,12,10,4,2,0,13,3,0,1,10,17,7,2,0,0,14,5,2,0,0,0,0,0,1,0,0,0,5,0,2,0,2,6
9,0,0,0,1,0,0,4,3,0,1,11,1,0,3,0,2,9,2,9,0,7,2,0,0,0,7,0,1,0,0,9,0,5,2,3,3,7,14,4,0,0,1,0,0,1,9,0,6,0,0,17,7,0,2,0,1,4,1,0,2,7,1,6,7,0,0,0,0,4,1,2,0,0,1,0,0,0,0,0,7,1,0,0,0,2,0,0,0,4,0,5,0,0,6,0,6,12,7,4,2,3,15,5,0,1,9,17,7,4,7,4,11,3,1,0,0,0,0,2,0,0,7,0,4,0,1,0,0
10,0,0,0,0,0,0,0,3,3,0,1,9,0,0,3,0,0,9,9,8,7,5,2,0,0,0,7,0,1,0,0,9,0,7,4,5,10,14,13,3,0,0,0,0,0,1,6,1,6,0,7,17,7,0,2,0,0,3,1,2,2,8,3,13,5,0,0,0,0,2,1,0,0,0,1,0,0,0,0,7,8,0,0,0,2,2,0,0,0,1,0,5,0,0,6,0,6,9,7,4,0,5,13,5,0,0,9,15,9,11,4,1,9,2,0,0,0,0,2,1,0,7,4,0,2,0,0,0
11,0,2,0,0,0,0,0,0,3,0,0,0,6,0,8,0,0,0,9,7,8,6,5,4,0,0,0,5,8,0,8,0,11,1,6,6,5,10,9,11,1,0,0,8,0,0,0,4,1,2,0,9,16,9,2,0,0,0,3,0,10,1,7,3,12,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,3,0,0,0,4,10,0,0,0,0,0,1,0,8,14,4,2,5,15,5,0,4,13,13,3,0,5,14,9,7,0,0,4,1,0,0,0,0,1,3,0,3,0,0,1,0,0
12,0,0,0,0,0,8,0,0,0,3,0,0,4,3,0,9,0,0,0,6,3,4,3,1,3,1,0,0,0,6,0,5,1,7,0,3,2,1,11,6,12,5,0,0,4,0,0,0,1,0,0,0,7,12,5,0,1,0,0,0,0,9,0,3,2,9,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,6,2,8,0,0,0,6,0,0,4,0,1,5,0,4,14,4,2,5,14,4,0,3,8,9,0,1,4,10,9,7,1,1,0,5,0,0,0,0,0,0,0,4,1,0,2,8
13,0,0,0,0,0,1,9,0,0,2,0,0,0,1,0,5,7,3,0,0,4,0,1,0,2,1,4,0,0,0,2,0,1,0,4,0,1,0,1,9,11,11,4,0,0,1,2,0,0,2,0,0,0,3,8,3,5,0,0,0,0,0,6,0,0,0,8,5,5,6,4,0,0,0,0,0,0,0,0,0,0,0,7,3,5,0,0,0,3,2,0,1,5,0,1,0,7,15,7,0,6,11,1,0,0,4,6,5,0,2,12,11,12,2,0,0,4,0,0,0,0,0,2,0,9,0,5,3
14,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,2,5,5,0,2,2,0,1,0,0,0,3,0,0,0,2,0,7,6,5,2,3,0,0,6,9,10,3,0,0,0,5,0,0,4,0,0,0,3,5,0,4,0,6,0,0,6,8,0,0,0,5,2,2,4,2,0,0,0,0,0,0,0,2,3,0,0,3,9,5,0,0,0,0,0,0,0,3,0,0,0,5,13,6,0,12,9,1,0,0,4,3,11,2,2,9,8,9,1,0,0,2,6,0,0,2,0,0,0,8,0,1
15,0,0,0,0,0,1,1,0,5,2,0,0,0,0,0,5,0,5,3,3,0,0,0,0,2,0,3,0,0,0,0,0,0,0,4,3,3,0,1,0,5,5,8,6,0,0,2,0,2,1,0,0,0,0,0,1,10,0,1,0,2,0,0,4,4,0,0,2,10,7,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5,1,0,0,2,0,0,5,0,0,0,3,1,8,9,7,2,8,6,0,0,0,9,1,9,4,4,14,6,5,0,0,0,0,2,0,0,4,0,5,0,13,3
16,0,0,0,1,0,0,1,1,1,4,3,0,0,1,0,0,4,0,4,8,2,0,1,0,0,0,0,8,0,0,0,1,0,0,0,3,2,2,0,6,0,3,5,6,6,1,0,0,1,2,0,0,0,0,0,0,0,10,1,0,0,0,0,0,4,5,0,0,0,8,6,5,0,1,0,0,0,5,1,0,0,0,1,0,0,0,3,1,1,0,0,1,0,3,0,0,0,3,0,6,9,6,2,9,4,0,1,0,8,0,8,3,4,11,5,3,0,0,0,0,1,0,0,1,0,5,3,10
17,0,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,3,1,2,9,0,0,2,0,0,0,0,7,0,0,0,2,0,0,0,4,3,0,0,3,2,1,4,4,5,0,0,0,0,3,1,0,1,1,0,0,0,9,1,0,10,0,1,0,3,3,0,0,0,7,4,2,0,2,0,0,0,4,2,0,0,0,0,0,1,0,1,0,0,2,0,0,2,2,0,0,0,2,0,2,9,4,1,8,2,0,0,0,9,0,4,0,1,9,7,1,0,0,0,1,2,0,0,0,0,2,2
18,0,2,0,0,0,0,0,0,0,0,0,2,0,2,8,0,0,0,3,0,2,8,0,2,0,0,0,0,8,3,8,0,2,1,0,2,0,4,0,0,0,0,1,9,3,4,1,0,0,0,0,5,0,2,3,0,0,0,0,8,9,0,9,0,0,0,2,0,0,0,0,6,0,2,2,1,0,0,0,4,0,0,0,0,0,2,9,0,1,0,0,2,0,0,10,10,0,0,0,10,0,1,8,4,9,7,2,0,0,0,5,0,0,0,0,6,6,0,0,0,2,1,0,0,0,0,0,0
19,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,5,0,1,1,0,0,0,6,0,5,0,0,0,0,0,0,5,0,1,4,0,0,5,0,4,0,0,0,0,0,3,0,0,1,1,0,0,0,3,8,0,5,0,0,0,2,1,1,0,0,4,0,0,0,2,0,0,0,1,1,0,8,0,0,0,5,0,1,4,0,3,4,0,5,10,0,0,0,9,0,0,5,0,5,4,3,0,0,0,5,1,1,0,4,4,2,0,0,0,0,1,1,1,0,1,8
20,0,0,0,0,0,0,4,0,0,0,0,8,0,6,0,0,6,0,0,0,0,8,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0,2,0,8,5,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,6,0,13,3,0,0,0,0,0,8,0,4,0,8,0,2,0,0,0,0,0,0,6,0,0,8,5,0,0,4,0,0,3,0,2,6,0,0,0,7,8,0,4,0,5,0,1,0,0,0,1,0,0,0,2,12,2,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,3,0,0,0,0,6,0,8,0,0,4,2,0,2,0,7,0,2,0,0,0,2,0,2,4,0,6,1,6,2,2,0,0,2,0,0,4,0,7,1,0,0,0,2,0,0,0,3,0,0,0,0,1,2,0,2,8,3,12,2,0,0,0,0,0,5,0,4,0,5,0,1,2,0,0,0,0,1,6,2,0,7,1,0,0,1,0,2,5,0,0,4,2,0,1,4,7,2,3,0,2,1,3,0,0,0,0,0,0,0,2,13,3,0,2,0,0,0,0,0,0
