,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,8,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,4,0,4,8,0,5,0,4,0,0,5,4,2,0,0,0,2,0
3,0,0,0,0,0,0,12,4,0,1,0,1,0,0,4,5,0,0,0,1,0
4,0,10,0,0,0,0,2,10,3,0,0,0,0,0,0,0,4,0,10,0,0
5,0,0,7,5,0,0,0,0,7,0,0,0,0,4,5,1,0,0,0,11,1
6,0,0,0,7,5,0,0,0,0,7,0,5,0,0,4,3,0,0,0,1,9
7,0,0,0,0,4,2,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0
8,0,0,1,0,0,4,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0
9,0,0,2,0,0,0,0,0,0,0,8,0,6,0,0,0,0,10,0,0,0
10,0,0,0,0,8,8,0,8,0,8,0,8,0,2,0,0,0,0,8,0,0
11,0,0,0,0,0,5,12,2,7,0,5,0,6,0,1,0,0,0,0,7,0
12,0,0,0,0,8,8,2,20,10,15,5,5,0,2,0,0,0,0,0,0,4
13,0,0,0,0,8,16,6,10,18,18,14,5,2,0,0,0,0,0,0,0,0
14,0,0,0,1,0,6,17,7,8,14,14,12,2,4,1,5,0,0,0,5,0
15,0,0,0,5,0,0,7,13,4,4,10,14,9,6,9,2,2,0,0,1,2
16,0,0,0,0,3,0,0,5,12,2,3,10,13,8,6,8,1,1,0,0,0
17,0,0,0,0,0,1,0,0,4,10,1,3,9,12,8,5,7,0,0,0,0
18,0,0,2,0,0,0,0,0,0,3,18,8,5,5,8,4,5,15,5,0,0
19,0,10,0,0,0,0,0,0,0,0,8,17,7,2,2,4,3,5,25,15,3
20,0,0,10,0,0,0,0,0,2,0,0,7,18,8,0,0,6,2,15,22,18
21,0,0,0,10,0,0,0,0,0,0,0,0,8,17,8,0,0,5,5,14,21
22,0,0,0,0,10,0,0,0,0,0,0,5,0,7,17,7,0,0,4,4,12
23,0,0,2,0,0,9,0,0,0,0,8,0,7,0,7,13,7,8,0,0,2
24,0,10,0,0,0,0,5,0,0,0,0,7,0,4,0,3,12,6,18,8,0
25,0,0,7,5,0,0,0,1,0,0,0,0,4,4,9,1,2,8,8,19,9
26,0,0,0,6,2,0,4,0,0,0,0,0,0,3,3,8,0,0,5,9,18
27,0,0,0,0,14,10,0,12,2,8,0,0,0,0,0,0,6,0,0,1,8
28,0,0,0,0,4,12,6,2,14,4,7,0,1,0,0,0,2,5,0,0,4
29,0,0,0,5,0,2,11,2,4,10,0,7,0,5,5,1,0,0,2,1,0
30,0,0,0,0,1,0,10,7,0,0,5,0,4,0,4,6,0,0,0,3,0
31,0,0,7,0,0,1,0,10,7,0,2,4,0,1,0,0,6,2,0,0,2
32,0,10,0,4,0,0,0,0,9,5,0,1,3,0,0,0,0,5,12,2,0
33,0,10,8,0,2,0,0,0,0,7,4,0,0,0,0,0,0,0,15,8,0
34,0,0,9,5,0,0,0,0,1,0,5,2,0,0,0,0,1,0,5,12,15
