,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0
4,0,0,3,3,6,3,3,0,0,0,0,3,0,7,0,0,1,0,1,3,3,0,6,2,2,6,0,0,0,0,4,1,3,1,0,0,0,5,0,0,0,0,0,0,0,2,0,6,0,0,0,2,0,0,3,0,6,0,6,3,2,0,11,1,6,0,4,7,2
5,0,0,0,3,4,6,3,0,0,0,0,2,2,2,4,0,6,0,6,1,3,0,1,8,4,3,4,0,0,0,0,10,1,9,1,0,0,0,3,0,0,0,0,0,0,2,0,1,2,0,0,2,2,0,0,1,1,4,1,6,5,1,1,13,3,5,0,6,9
6,0,0,0,0,2,1,3,0,0,0,0,0,1,1,0,1,0,2,0,3,0,0,0,0,7,3,0,0,0,0,10,0,7,0,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,3,12,2,4,0,5
7,0,1,0,0,0,0,0,8,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,4,2,1,0,0,0,7,0,4,0,8,0,0,1,4,0,1,0,0,10,0,5,0,4,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,2,12,2,1,0
8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,2,0,8,0,0,0,2,0,0,0,0,8,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,12,2,0
9,0,0,0,0,1,0,0,0,0,1,0,2,0,2,0,0,9,0,6,0,0,0,1,2,2,1,0,0,0,0,0,6,0,10,0,0,0,7,0,0,0,0,0,0,0,2,5,1,0,0,0,2,0,0,0,0,1,0,1,0,2,0,1,5,1,0,2,14,4
10,0,3,0,0,0,0,0,1,5,1,0,0,0,0,3,0,0,14,4,3,0,1,0,0,0,0,0,5,0,0,0,0,3,0,7,5,0,0,10,2,0,5,0,0,0,0,3,2,3,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,4,12
11,0,0,6,3,6,3,3,0,0,1,1,2,0,2,0,1,1,4,15,7,6,0,7,2,2,6,0,0,5,0,0,1,3,4,0,4,4,0,0,7,2,0,4,0,0,2,0,9,0,0,0,3,0,0,3,0,6,0,10,3,2,0,6,0,6,1,0,2,6
12,0,0,3,9,9,9,6,0,0,0,1,3,1,2,0,0,2,0,5,18,10,2,6,9,4,8,4,0,0,4,0,1,4,4,4,0,3,4,0,0,7,0,0,3,0,2,0,6,6,0,0,2,3,0,3,1,6,4,6,13,5,1,6,5,6,5,0,2,4
13,0,0,0,1,8,7,7,6,0,0,1,0,8,0,2,0,0,0,0,8,16,7,1,5,8,3,6,2,1,5,3,0,0,3,2,2,5,4,3,0,0,5,0,0,3,0,2,0,5,3,0,0,1,1,0,1,0,5,3,4,12,10,0,4,4,11,10,0,1
14,0,2,0,0,0,4,3,11,8,0,0,0,0,5,4,1,0,2,0,0,6,16,6,0,2,5,2,8,0,0,2,0,0,0,0,4,1,2,6,8,0,2,4,0,0,0,4,0,5,2,3,0,0,0,0,0,0,2,2,0,2,11,7,0,1,3,10,7,0
15,0,0,0,0,0,0,2,1,7,3,0,0,0,0,1,1,3,0,4,0,0,6,15,6,0,1,2,0,8,0,0,4,0,2,0,0,2,1,0,2,7,0,1,3,0,0,0,3,0,0,0,3,2,0,0,0,0,0,1,0,0,1,10,15,5,0,1,10,7
16,0,0,0,0,1,0,0,0,0,4,2,2,0,2,0,0,7,0,6,4,0,0,7,17,8,1,0,0,0,7,0,6,4,6,2,0,0,1,0,0,2,4,0,0,2,2,0,1,0,0,0,2,3,2,0,0,1,0,1,1,2,0,2,12,16,6,0,3,12
17,0,0,1,1,2,2,1,0,0,0,4,9,1,7,0,0,2,5,2,7,5,0,2,14,24,14,2,0,0,0,6,2,7,6,7,0,0,0,1,0,1,0,3,0,0,9,0,2,0,0,0,7,2,4,3,0,2,1,2,2,8,1,2,2,14,15,5,7,10
18,0,0,0,0,0,0,0,0,1,8,0,0,6,0,6,4,0,3,2,0,4,13,3,4,12,20,18,8,0,0,0,3,0,4,5,8,0,0,0,1,0,2,0,0,0,0,8,0,2,1,8,0,3,1,1,7,0,2,0,0,0,5,0,0,4,11,12,2,3
19,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,3,1,0,0,0,0,3,11,1,2,10,17,14,8,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,1,0,0,5,0,0,0,0,0,3,0,0,4,11,10,0
20,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,9,0,0,7,13,14,8,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,2,0,0,0,0,0,2,0,0,4,9,8
