,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0,0,0,0,6,1,0,0,6,6,0,2,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,6,0,0,2,0,1,6,0,0,6,0,0,0,0,0,6,2,2,0,0,0,6,0,0,0,1,2,0,6,0,1,0,0,0,0,2,0,0,2,0,0,1
2,0,2,1,0,0,0,0,0,3,0,0,1,12,2,3,1,7,3,0,0,0,6,1,0,3,3,0,1,3,0,0,0,0,0,1,5,3,1,6,0,0,0,6,2,6,0,1,4,0,0,0,3,1,8,4,0,0,0,1,4,3,0,6,0,0,1,5,6,0,0,0,0,2,0,0,0,0,0,6
3,0,7,1,0,0,0,0,0,1,1,0,2,3,10,3,5,3,5,3,0,0,2,6,0,1,4,2,2,0,0,0,0,0,0,2,0,6,5,2,4,0,0,2,8,2,5,2,0,5,0,0,1,5,8,15,5,0,0,2,0,5,0,2,6,0,2,0,7,4,0,0,0,7,0,0,0,0,0,2
4,0,0,7,5,0,1,0,1,0,0,1,0,0,4,7,0,2,4,1,2,1,0,0,11,1,0,1,0,6,4,0,0,4,0,0,2,0,3,1,0,0,1,0,0,5,2,2,1,0,5,0,0,0,2,5,11,4,0,0,0,0,9,0,0,10,0,2,0,8,2,0,0,0,12,4,0,5,0,0
5,0,0,0,7,1,0,0,1,0,0,0,0,0,1,1,4,0,3,0,9,3,0,0,1,8,0,0,0,0,6,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,2,0,6,0,0,2,0,0,0,0,1,19,9,0,0,0,0,5,0,0,7,0,0,1,5,0,0,0,2,12,2,0,3,0
6,0,0,1,0,6,0,2,0,0,0,1,0,0,0,0,0,3,0,3,0,6,3,5,0,0,7,0,0,0,0,7,2,0,1,0,1,0,0,0,2,0,0,1,0,1,1,1,0,5,1,1,1,0,0,0,0,9,18,8,0,0,0,0,5,0,0,8,0,0,6,6,1,0,0,2,12,2,2,3
7,0,1,0,0,0,4,0,0,7,0,0,1,3,0,7,0,0,0,0,0,0,9,2,2,7,7,4,0,0,0,0,5,0,0,1,0,8,0,0,0,0,0,3,1,0,0,1,0,0,3,0,8,1,1,1,0,0,8,18,8,7,0,3,0,1,0,0,11,1,0,5,4,2,0,0,2,9,1,5
8,0,0,0,2,0,7,3,3,0,4,0,0,0,6,0,5,0,3,0,0,3,0,7,3,0,5,4,2,2,2,0,0,7,0,0,0,0,6,0,0,0,3,0,1,0,0,0,1,0,0,2,0,6,1,1,0,0,0,8,15,6,9,0,0,2,0,0,1,14,4,0,4,4,3,2,0,3,8,0
9,0,0,0,0,12,2,6,0,0,0,3,0,0,0,3,0,4,0,2,0,0,2,0,4,0,0,15,5,0,0,1,0,0,6,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,12,3,8,0,0,1,0,0,4,13,3,0,3,1,0,1,0,2,7
10,0,0,0,5,2,14,4,8,0,0,0,0,0,2,0,0,0,6,0,2,2,0,0,4,0,0,5,11,10,5,0,0,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,17,7,4,5,0,0,0,2,3,10,2,0,7,6,0,5,0,0
