,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,0,0,0,0,0,0,0,0,7,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2,0,0,3,0,0,0,0,0,0,2,0,6,0,0,3,0,2,0,0,0,0,9,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0
3,0,0,5,2,5,0,0,0,0,0,0,0,6,0,0,0,5,7,0,2,0,0,8,0,10,0,0,0,0,0,0,1,2,0,0,0,0,0,5,0,3,0,0,0,0
4,0,1,0,4,0,2,0,0,0,0,1,0,0,11,1,4,0,3,6,0,7,0,0,4,0,15,5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0,0,0
5,0,0,0,13,3,0,15,5,0,0,0,0,0,1,8,0,3,0,16,6,0,3,0,0,3,5,28,18,13,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13
6,0,0,0,3,12,2,5,12,4,0,0,0,0,0,0,5,0,2,6,15,5,0,0,0,0,0,18,26,16,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3
7,0,0,0,0,3,14,4,6,14,6,0,0,7,0,2,0,5,0,0,5,12,5,1,0,0,0,8,16,23,17,12,2,7,0,1,1,0,0,0,2,0,0,0,7,0
8,0,0,0,0,0,4,11,1,4,11,3,8,0,3,0,0,0,5,0,0,2,11,2,0,0,0,0,16,13,20,15,12,2,4,0,0,0,0,0,0,2,0,0,0,4
9,0,0,0,0,0,6,1,14,7,5,9,1,10,0,4,0,0,0,2,0,0,1,14,4,0,0,0,6,13,16,26,16,14,4,7,0,0,0,0,1,0,0,0,2,0
10,0,0,0,0,0,0,3,4,12,5,5,6,0,9,0,3,0,0,0,0,0,0,4,11,2,0,0,0,3,12,16,24,15,22,12,9,8,2,0,0,0,0,4,0,0
11,0,2,0,0,0,0,0,0,2,8,7,1,3,4,5,5,0,0,0,0,4,0,0,1,10,6,0,0,0,2,9,14,21,14,18,8,8,5,0,0,0,2,0,1,0
12,0,0,1,0,0,0,0,0,0,2,7,5,2,0,4,1,4,0,0,0,0,3,0,0,0,6,3,0,0,0,2,10,15,23,14,28,18,6,4,0,1,0,1,1,0
13,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,9,13,20,18,25,15,5,3,0,0,0,0,0
14,0,0,0,0,0,2,0,1,2,2,0,0,12,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,7,8,14,21,17,24,15,7,3,0,0,7,0
15,0,0,1,0,1,0,0,0,1,2,0,0,2,9,2,0,1,2,0,0,0,2,0,3,0,0,0,0,0,0,1,9,0,5,7,15,19,14,25,15,14,4,0,0,5
16,0,0,1,0,1,1,0,0,0,1,0,0,0,0,9,0,1,2,0,0,0,2,1,2,3,0,0,0,0,0,0,8,9,0,4,8,13,15,15,25,22,12,0,0,0
17,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0,6,5,6,1,2,0,0,1,1,4,1,0,0,0,0,0,1,8,7,0,3,6,9,20,15,26,19,9,0,0
