,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,2,0,2,0,2,0,0,0,0,6,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,6,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,6,1,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,1,0,0,4,0,0,0,0,7,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,0,8,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,1,12,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,1,3,0,0,1
3,0,0,2,2,5,0,2,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,0,0,0,6,0,0,7,0,0,0,0,2,0,0,0,1,0,0,6,0,0,0,5,0,5,2,0,0,0,1,0,0,2,4,0,0,2,0,0,0,0,5,0,2,0,0,8,1,3,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,7,0,1,1,0,0,6,0,0,0,2,0,0,1,1,1,0,2,0,0,0,0,0,3,0,2,0,2,15,5,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,2,0,0,8,0,11,1,0,0,1,3,0
4,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,9,8,0,5,0,0,0,4,0,1,0,0,0,0,0,2,0,0,3,0,0,2,0,8,0,0,3,0,4,0,0,3,0,1,0,2,0,8,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,6,0,0,3,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,3,0,2,0,5,11,3,0,0,1,4,0,4,0,2,0,0,0,8,0,0,8,0,0,3,0,0,0,1,0,0,7,1,11,1,2,0,0,3
5,0,5,0,0,0,0,3,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,7,0,0,0,0,0,0,0,0,7,6,0,6,0,0,0,2,0,0,5,0,0,0,0,1,0,0,2,0,0,1,0,6,0,5,2,0,3,0,0,2,5,0,0,7,0,9,5,0,0,2,0,3,5,0,0,0,5,0,0,5,5,0,0,2,0,0,0,6,0,0,1,5,5,2,0,0,0,0,0,0,0,0,0,0,2,5,0,1,1,0,3,0,0,0,5,9,3,0,0,0,2,0,9,0,1,0,5,0,13,5,0,13,3,5,2,5,0,0,0,0,0,7,2,10,0,7,0,0
6,0,0,7,2,3,0,2,0,0,6,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,3,0,1,7,0,0,4,0,2,0,0,0,1,0,0,10,3,0,4,3,0,3,4,0,0,2,1,0,0,2,3,0,0,2,0,0,0,0,6,0,7,0,0,4,0,7,1,3,0,0,3,0,8,8,0,3,0,0,2,3,0,1,0,7,1,0,4,6,0,0,0,3,0,1,6,0,0,0,4,3,2,1,0,0,0,1,1,0,2,0,0,1,3,0,0,1,1,3,0,7,1,3,8,6,3,0,3,0,0,7,0,1,0,1,3,12,2,3,16,6,7,1,7,0,0,0,0,1,5,2,8,0,14,4
7,0,0,0,4,0,1,0,2,0,0,6,1,0,0,0,0,0,0,0,3,7,0,0,1,7,0,3,0,0,5,0,0,1,0,3,0,2,0,1,0,0,9,3,1,2,5,0,0,3,0,0,0,0,2,0,0,2,7,0,9,0,0,0,0,5,0,9,7,0,0,0,6,3,3,0,0,3,0,6,10,0,1,7,0,3,1,0,0,0,4,0,0,1,6,7,2,0,2,0,0,8,0,0,0,5,10,0,3,7,0,0,0,0,0,0,0,0,3,5,0,7,0,8,4,0,4,2,2,6,4,5,0,2,0,0,6,7,0,0,0,2,12,2,6,15,5,6,0,6,1,0,1,0,1,12,2,7,4,21
8,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,2,4,0,0,0,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,8,0,5,0,2,1,0,2,0,8,4,1,0,0,3,0,0,0,0,0,0,3,8,0,0,4,0,0,0,0,0,0,1,0,0,0,5,4,0,0,0,1,0,10,0,0,0,4,7,0,2,4,0,0,0,0,0,0,0,0,0,1,0,4,0,5,3,0,1,0,0,4,1,3,0,0,0,0,5,4,0,0,0,2,9,0,5,12,2,3,0,3,0,0,0,0,2,8,0,6,11
9,0,0,5,5,2,0,5,0,0,0,0,0,7,0,0,0,0,4,5,0,0,6,0,0,0,2,2,0,7,0,0,0,0,5,0,0,0,4,0,0,2,0,0,1,2,0,2,8,0,1,0,4,0,0,5,5,0,0,1,5,0,1,0,2,0,5,0,0,12,4,3,0,0,0,0,0,0,0,2,0,5,4,0,0,0,0,4,0,5,4,0,0,4,0,0,1,6,0,4,0,0,0,9,0,0,0,8,4,0,1,8,4,0,5,0,0,0,0,0,0,0,4,1,0,7,7,0,0,2,2,1,3,0,0,0,0,0,4,0,0,0,0,1,11,1,10,11,7,2,0,1,0,4,0,0,0,7,2,3
