,seq1,seq2,score,normalized_score
19,prot-0380,prot-0553,-53,-0.2789473684210526
42,prot-0791,prot-0245,-37,-0.27007299270072993
3,prot-0075,prot-0561,-35,-0.23178807947019867
31,prot-0595,prot-0503,-20,-0.12903225806451613
46,prot-0860,prot-0510,-19,-0.31666666666666665
6,prot-0131,prot-0547,-15,-0.1
13,prot-0262,prot-0540,-9,-0.05421686746987952
39,prot-0734,prot-0108,-8,-0.11764705882352941
43,prot-0805,prot-0261,-4,-0.031496062992125984
44,prot-0821,prot-0591,-4,-0.01694915254237288
28,prot-0536,prot-0452,-3,-0.01327433628318584
15,prot-0305,prot-0785,-3,-0.024793388429752067
11,prot-0228,prot-0121,-2,-0.0425531914893617
12,prot-0244,prot-0817,0,0.0
47,prot-0878,prot-0524,3,0.11538461538461539
22,prot-0431,prot-0093,3,0.03333333333333333
7,prot-0148,prot-0369,5,0.16129032258064516
4,prot-0093,prot-0091,5,0.07692307692307693
38,prot-0716,prot-0710,5,0.045454545454545456
27,prot-0520,prot-0088,6,0.04580152671755725
20,prot-0397,prot-0470,8,0.03292181069958848
16,prot-0326,prot-0712,9,0.09090909090909091
41,prot-0772,prot-0886,11,0.23404255319148937
37,prot-0699,prot-0760,12,0.09836065573770492
5,prot-0110,prot-0613,12,0.12244897959183673
2,prot-0056,prot-0826,15,0.29411764705882354
23,prot-0446,prot-0424,17,0.09714285714285714
40,prot-0750,prot-0875,19,0.5135135135135135
36,prot-0682,prot-0873,20,0.5555555555555556
9,prot-0186,prot-0014,20,0.5
49,prot-0915,prot-0407,21,0.22826086956521738
1,prot-0035,prot-0071,22,0.275
8,prot-0166,prot-0839,24,0.3037974683544304
18,prot-0363,prot-0345,26,1.3
34,prot-0648,prot-0022,26,0.3561643835616438
25,prot-0486,prot-0314,27,0.34177215189873417
0,prot-0018,prot-0198,28,0.32558139534883723
17,prot-0346,prot-0063,28,0.5490196078431373
33,prot-0631,prot-0386,30,0.30303030303030304
29,prot-0552,prot-0460,30,0.3448275862068966
45,prot-0843,prot-0026,30,0.5
48,prot-0900,prot-0264,31,0.7560975609756098
21,prot-0414,prot-0903,31,0.4189189189189189
32,prot-0616,prot-0819,33,0.2578125
35,prot-0665,prot-0100,35,0.5147058823529411
30,prot-0571,prot-0711,40,0.16736401673640167
26,prot-0503,prot-0454,43,0.27741935483870966
10,prot-0206,prot-0313,45,0.3
24,prot-0469,prot-0609,45,0.20361990950226244
14,prot-0286,prot-0641,60,0.594059405940594
