,seq1,seq2,score,normalized_score
28,prot-0536,prot-0452,0,0.0
44,prot-0821,prot-0591,0,0.0
11,prot-0228,prot-0121,0,0.0
38,prot-0716,prot-0710,5.0,0.045454545454545456
47,prot-0878,prot-0524,13.0,0.5
7,prot-0148,prot-0369,16.0,0.5161290322580645
8,prot-0166,prot-0839,24.0,0.3037974683544304
31,prot-0595,prot-0503,24.0,0.15483870967741936
22,prot-0431,prot-0093,25.0,0.2777777777777778
40,prot-0750,prot-0875,28.0,0.7567567567567568
49,prot-0915,prot-0407,29.0,0.31521739130434784
46,prot-0860,prot-0510,30.0,0.5
36,prot-0682,prot-0873,30.0,0.8333333333333334
9,prot-0186,prot-0014,31.0,0.775
37,prot-0699,prot-0760,31.0,0.2540983606557377
12,prot-0244,prot-0817,32.0,0.32653061224489793
18,prot-0363,prot-0345,35.0,1.75
32,prot-0616,prot-0819,38.0,0.296875
0,prot-0018,prot-0198,40.0,0.46511627906976744
41,prot-0772,prot-0886,41.0,0.8723404255319149
1,prot-0035,prot-0071,43.0,0.5375
2,prot-0056,prot-0826,44.0,0.8627450980392157
17,prot-0346,prot-0063,47.0,0.9215686274509803
27,prot-0520,prot-0088,50.0,0.3816793893129771
25,prot-0486,prot-0314,50.0,0.6329113924050633
39,prot-0734,prot-0108,50.0,0.7352941176470589
21,prot-0414,prot-0903,52.0,0.7027027027027027
4,prot-0093,prot-0091,52.0,0.8
45,prot-0843,prot-0026,53.0,0.8833333333333333
29,prot-0552,prot-0460,55.0,0.632183908045977
13,prot-0262,prot-0540,55.0,0.3313253012048193
16,prot-0326,prot-0712,57.0,0.5757575757575758
24,prot-0469,prot-0609,60.0,0.27149321266968324
42,prot-0791,prot-0245,61.0,0.44525547445255476
26,prot-0503,prot-0454,62.0,0.4
10,prot-0206,prot-0313,63.0,0.42
14,prot-0286,prot-0641,64.0,0.6336633663366337
34,prot-0648,prot-0022,68.0,0.9315068493150684
33,prot-0631,prot-0386,69.0,0.696969696969697
48,prot-0900,prot-0264,70.0,1.7073170731707317
5,prot-0110,prot-0613,82.0,0.8367346938775511
43,prot-0805,prot-0261,82.0,0.6456692913385826
23,prot-0446,prot-0424,86.0,0.49142857142857144
3,prot-0075,prot-0561,99.0,0.6556291390728477
19,prot-0380,prot-0553,104.0,0.5473684210526316
6,prot-0131,prot-0547,106.0,0.7066666666666667
35,prot-0665,prot-0100,107.0,1.5735294117647058
15,prot-0305,prot-0785,124.0,1.024793388429752
20,prot-0397,prot-0470,129.0,0.5308641975308642
30,prot-0571,prot-0711,140.0,0.5857740585774058
